adj,freq,class,subjectivity,best performing,difference lex-sub,input_score,lexical_score,sub_score,p2exp_d,age,input strings,output strings
heavy,7,physical,0.5725,input,0.20209424083769634,0.9375,0.69075043630017452,0.48865619546247818,"[0.0625, 0.30924956369982548, 0.51134380453752182]",2,"big heavy ,big heavy ,big heavy ,big heavy ,big heavy ,pretty heavy ,big heavy ,","big heavy ,"
cute,10,value,0.787272727,input,0.19153096318618301,0.86974079639368906,0.66013874878299317,0.46860778559681016,"[0.9545454545454546, 0.87071977638015374, 0.77672955974842772]",2,"cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,","cute little ,cute little ,cute little ,"
naughty,4,human,0.723,input,-0.26708931968067967,0.65610000000000002,0.002191041257070515,0.26928036093775021,"[0.9, 0.2163528591352859, 0.72036262203626222]",2,"naughty little ,naughty little ,naughty little ,naughty little ,","naughty little ,naughty little ,naughty little ,naughty little ,"
old,47,age,0.646666667,input,0.16092616758514952,0.23388772664470744,0.16095788877340728,3.1721188257748681e-05,"[0.19791666666666666, 0.24654867256637167, 0.66442477876106198]",2,"old dirty ,old dirty ,old dirty ,old dirty ,wee old ,wee old ,wee old ,wee old ,little old ,simple old ,little old ,big old ,little old ,big old ,fun old ,fun old ,poor old ,poor old ,poor old ,little old ,poor old ,poor old ,little old ,merry old ,old wicked ,big old ,old grey ,old grey ,good old ,good old ,good old ,good old ,good old ,good old ,good old ,good old ,old empty ,poor old ,good old ,good old ,big old ,fun old ,fun old ,nasty old ,fun old ,old podgy ,dear old ,","old mean ,stupid old ,poor old ,merry old ,nasty old ,nasty old ,poor old ,poor old ,poor old ,big old ,big old ,old grey ,big old ,big old ,little old ,"
fair,N/A,human,0.634166667,N/A,0.0,0.25,0.25,0.25,not in input,2,,"fair fluffy ,fair fluffy ,"
brown,90,color,0.29875,input,0.028795352202517194,0.37511680225396449,0.068427120033976899,0.039631767831459705,"[0.038461538461538464, 0.10172537742631201, 0.12113587347232208]",2,"big brown ,big brown ,little brown ,big brown ,big brown ,little brown ,brown orange ,brown grey ,brown grey ,little brown ,little brown ,little brown ,little brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,little brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,little brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,","big brown ,big brown ,merry brown ,merry brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,"
fluffy,21,physical,0.573333333,input,0.21440636910841718,0.69636316679188581,0.33092462080385887,0.11651825169544169,"[0.11363636363636363, 0.30831287267625396, 0.51157488600491052]",2,"soft fluffy ,nice fluffy ,big fluffy ,big fluffy ,big fluffy ,white fluffy ,big fluffy ,white fluffy ,fluffy pink ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,fluffy pink ,big fluffy ,","little fluffy ,fair fluffy ,fair fluffy ,"
hard,6,physical,0.428181818,input,-0.0016884373376239714,0.86224489795918369,0.47704422205329555,0.47873265939091952,"[0.07142857142857142, 0.30931612002791348, 0.30809490579204468]",2,"pretty hard ,pretty hard ,pretty hard ,pretty hard ,jolly hard ,big hard ,","big hard ,big hard ,"
back,N/A,location,0.297142857,N/A,0.0,0.5,0.5,0.5,not in input,2,,"fun back ,"
yellow,58,color,0.343333333,sub,-0.1733714397567081,4.8579874752619878e-05,0.051357508830769269,0.22472894858747736,"[0.00847457627118644, 0.1062544420753376, 0.24093816631130063]",2,"nice yellow ,big yellow ,little yellow ,green yellow ,big yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,special yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,big yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,round yellow ,little yellow ,big yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,big yellow ,little yellow ,little yellow ,big yellow ,soft yellow ,little yellow ,little yellow ,big yellow ,little yellow ,","little yellow ,little yellow ,yellow green ,yellow green ,big yellow ,yellow big ,red yellow ,big yellow ,big yellow ,"
