adj,freq,class,subjectivity,best performing,difference lex-sub,input_score,lexical_score,sub_score,p2exp_d,age,input strings,output strings
cute,6,value,0.787272727,input,0.0050893033154639639,0.19585603844009289,0.046829704951229789,0.041740401635765825,"[0.9285714285714286, 0.8700999736911339, 0.86556169429097607]",4,"cute little ,cute little ,cute little ,cute little ,cute red ,cute red ,","cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,"
chinese,3,nationality,0.12,input,-0.05002318191819026,0.21875,0.0085104828694572299,0.058533664787647488,"[0.125, 0.0042735042735042739, 0.030177514792899408]",4,"sweet chinese ,nice chinese ,little chinese ,","beautiful chinese ,chinese new ,"
yellow,91,color,0.343333333,sub,-0.10203614557777398,9.7059772238858506e-05,0.019444339607669683,0.12148048518544366,"[0.02717391304347826, 0.11853132898762804, 0.22914726619662099]",4,"nice yellow ,strange yellow ,big yellow ,blue yellow ,nice yellow ,nice yellow ,little yellow ,bright yellow ,dirty yellow ,big yellow ,deep yellow ,shiny yellow ,clear yellow ,long yellow ,small yellow ,long yellow ,tiny yellow ,strong yellow ,dark yellow ,giant yellow ,hard yellow ,tiny yellow ,golden yellow ,small yellow ,bright yellow ,huge yellow ,new yellow ,soft yellow ,bright yellow ,old yellow ,little yellow ,sharp yellow ,big yellow ,tiny yellow ,brilliant yellow ,flat yellow ,beautiful yellow ,long yellow ,bright yellow ,bright yellow ,hard yellow ,light yellow ,yellow brown ,giant yellow ,pale yellow ,golden yellow ,large yellow ,small yellow ,bright yellow ,thick yellow ,little yellow ,bright yellow ,bright yellow ,yellow plastic ,big yellow ,thick yellow ,famous yellow ,long yellow ,bright yellow ,empty yellow ,dirty yellow ,huge yellow ,early yellow ,large yellow ,dry yellow ,little yellow ,long yellow ,bright yellow ,pale yellow ,soft yellow ,pale yellow ,ancient yellow ,huge yellow ,long yellow ,large yellow ,new yellow ,pale yellow ,thin yellow ,pale yellow ,brilliant yellow ,big yellow ,big yellow ,heavy yellow ,long yellow ,bright yellow ,large yellow ,bright yellow ,bright yellow ,gorgeous yellow ,bright yellow ,little yellow ,","little yellow ,big yellow ,big yellow ,plain yellow ,yellow green ,yellow green ,bright yellow ,big yellow ,yellow green ,yellow green ,"
awful,26,value,0.641666667,input,0.33085053660118735,0.89390765969691666,0.43685467386736582,0.10600413726617849,"[0.9814814814814815, 0.87107623318385652, 0.68794513321023476]",4,"awful long ,awful long ,awful long ,awful inner ,awful large ,awful long ,awful long ,awful long ,awful long ,awful long ,awful little ,awful quiet ,awful quiet ,awful long ,awful old ,awful long ,awful long ,awful long ,awful long ,awful long ,awful long ,awful old ,awful long ,awful long ,awful long ,awful brown ,","awful long ,awful long ,awful brown ,awful bad ,awful bad ,awful hard ,"
bright,94,color,0.464,sub,-0.15434572161488092,0.0094732468289838046,0.27603226166338085,0.43037798327826177,"[0.9421052631578948, 0.11837902581847219, 0.40437849347883947]",4,"bright blue ,bright red ,bright white ,nice bright ,nice bright ,nice bright ,big bright ,bright new ,bright polar ,nice bright ,bright red ,bright yellow ,bright white ,bright blue ,bright new ,bright red ,bright new ,bright new ,bright old ,bright red ,bright new ,bright new ,bright purple ,bright red ,bright new ,bright yellow ,bright blue ,bright blue ,bright brown ,bright red ,bright green ,bright blue ,bright yellow ,bright red ,bright green ,bright blue ,bright yellow ,bright new ,bright new ,bright blue ,bright red ,bright blue ,bright red ,bright red ,bright yellow ,bright red ,bright green ,bright green ,bright blue ,bright red ,bright wooden ,bright red ,bright blue ,bright yellow ,bright red ,bright red ,bright red ,bright blue ,bright yellow ,bright yellow ,bright blue ,bright red ,bright red ,bright red ,bright yellow ,bright blue ,bright blue ,bright red ,bright yellow ,bright red ,bright red ,bright red ,bright new ,bright green ,bright red ,bright red ,bright green ,bright green ,bright green ,bright green ,bright green ,bright green ,bright green ,bright red ,bright yellow ,bright red ,bright red ,bright yellow ,bright green ,bright yellow ,bright red ,bright red ,bright red ,bright yellow ,","big bright ,big bright ,bright yellow ,"
fine,26,value,0.625,lexical,0.39465316504734349,0.48225308641975317,0.57573768566360695,0.18108452061626343,"[0.8333333333333334, 0.87107623318385652, 0.65233447639145348]",4,"okay fine ,right fine ,big fine ,nice fine ,fine blue ,fine old ,fine blue ,fine red ,fine old ,fine new ,fine old ,fine old ,fine long ,fine red ,fine red ,fine old ,fine old ,fine old ,fine smooth ,fine old ,fine good ,fine old ,fine blue ,fine old ,fine brown ,fine big ,","fine little ,fine little ,fine little ,fine little ,"
slow,3,speed,0.504285714,sub,-0.078238001314924421,0.375,0.48454963839579224,0.56278763971071666,"[0.625, 0.51545036160420776, 0.43721236028928334]",4,"slow just ,slow comfortable ,heavy slow ,","nice slow ,"
just,3,value,0.60125,sub,-0.20800001764118092,0.00019370263908058405,0.01110924372207478,0.2191092613632557,"[0.125, 0.86995397764628535, 0.6243261012491782]",4,"french just ,slow just ,odd just ,","blue just ,just young ,just young ,just young ,just young ,just young ,just young ,alright just ,alright just ,alright just ,just young ,alright just ,"
royal,N/A,human,0.4925,N/A,0.0,0.5,0.5,0.5,not in input,4,,"royal old ,"
young,27,age,0.551538462,lexical,0.00068705993611073251,0.00021145336752603371,0.00068861252687842491,1.55259076769243e-06,"[0.4107142857142857, 0.3655850151695027, 0.56654794881941695]",4,"young exciting ,nice young ,new young ,new young ,young black ,stupid young ,new young ,new young ,small young ,young black ,nice young ,nice young ,new young ,young new ,nice young ,nice young ,nice young ,nice young ,nice young ,good young ,young hard ,young green ,young red ,young new ,young new ,young green ,young brown ,","just young ,just young ,just young ,just young ,just young ,just young ,just young ,poor young ,poor young ,poor young ,poor young ,poor young ,poor young ,poor young ,poor young ,poor young ,"
late,1,temporal,0.422307692,lexical,0.13789930327330091,0.25,0.78979886946233735,0.65189956618903644,"[0.75, 0.21020113053766268, 0.34810043381096356]",4,"late early ,","pretty late ,"
black,38,color,0.269,lexical,0.056930701313496812,0.038610937024071555,0.40478370953689763,0.34785300822340082,"[0.3717948717948718, 0.12120211360634082, 0.14002642007926025]",4,"gorgeous black ,old black ,little black ,big black ,big black ,good black ,big black ,young black ,black shiny ,black good ,small black ,strange black ,young black ,thick black ,little black ,black little ,big black ,black red ,little black ,big black ,big black ,tiny black ,big black ,big black ,black fluffy ,white black ,stupid black ,teenage black ,small black ,black red ,black wooden ,black wooden ,black short ,black plastic ,black wooden ,black plastic ,black wooden ,black wooden ,","cool black ,little black ,little black ,little black ,little black ,small black ,small black ,"
tawny,N/A,color,0.505,N/A,0.0,0.5,0.5,0.5,not in input,4,,"little tawny ,"
sweet,11,physical,0.724666667,input,-0.19923761980387356,0.7746393703465928,0.012370917528629153,0.21160853733250271,"[0.9583333333333334, 0.48091351849414243, 0.77194945373173618]",4,"sweet chinese ,sweet little ,sweet old ,sweet little ,sweet old ,sweet old ,sweet good ,sweet old ,sweet red ,sweet red ,sweet old ,","sweet little ,sweet little ,sweet little ,sweet little ,sweet little ,sweet little ,"
orange,1,color,0.301538462,sub,-0.053608405727792505,0.087890625,0.10210745182629925,0.15571585755409176,"[0.75, 0.1230445642171684, 0.16294202708032077]",4,"orange smooth ,","fresh orange ,big orange ,big orange ,orange green ,orange green ,"
